Station Code,Distance from ESK,Services from/to ESK,Disruptions on path to ESK
UTO,128,0.0,366
UTT,136,0.0,415
UTVR,132,0.0,415
UTZL,133,0.0,415
VB,188,0.0,500
VD,61,0.0,67
VDL,230,0.0,545
VDM,196,0.0,196
VEM,53,0.0,67
VG,144,0.0,442
VH,189,0.0,450
VHP,31,0.0,90
VK,239,0.0,545
VL,159,0.0,443
VLB,129,0.0,390
VNDC,147,0.0,383
VNDW,146,0.0,383
VP,72,0.0,73
VRY,136,0.0,391
VS,282,0.0,816
VSS,281,0.0,816
VST,186,0.0,535
VSV,115,0.0,100
VTN,138,0.0,420
VZ,24,0.0,89
WAD,171,0.0,500
WADN,172,0.0,500
WADT,170,0.0,500
WC,106,0.0,327
WD,147,0.0,342
WDN,23,43.67741935483871,89
WF,86,0.0,327
WFM,193,0.0,198
WH,74,0.0,165
WK,196,0.0,135
WL,101,0.0,99
WM,171,0.0,625
WP,141,0.0,354
WR,223,0.0,207
WS,201,0.0,198
WSM,185,0.0,184
WT,200,0.0,504
WTV,81,0.0,76
WV,118,0.0,115
WW,94,0.0,81
WWW,93,0.0,81
WZ,72,0.0,115
YPB,184,0.0,500
ZA,100,0.0,341
ZB,188,0.0,192
ZBM,143,0.0,387
ZD,165,0.0,622
ZDK,168,0.0,625
ZH,181,0.0,183
ZL,63,37.935483870967744,101
ZLSH,68,0.0,115
ZLW,198,0.0,796
ZP,49,0.0,67
ZTM,179,0.0,500
ZTMO,178,0.0,500
ZV,90,0.0,79
ZVB,206,0.0,801
ZVT,182,0.0,639
ZWD,185,0.0,538
ZZS,168,0.0,625
