Station Code,Distance from TBR,Services from/to TBR,Disruptions on path to TBR
GP,48,0.0,75
GR,69,0.0,470
GS,90,0.0,347
GV,88,0.0,560
GVC,89,0.0,575
GVM,93,0.0,575
GVMW,87,0.0,560
GW,244,0.0,470
GZ,6,30.193548387096776,0
HAD,129,0.0,585
HB,134,0.0,138
HBZM,57,0.0,460
HD,123,0.0,402
HDB,200,0.0,510
HDE,144,0.0,399
HDG,267,0.0,416
HDR,195,0.0,539
HDRZ,194,0.0,539
HFD,126,0.0,247
HGL,163,0.0,418
HGLG,161,0.0,418
HGLO,165,0.0,437
HGV,210,0.0,413
HGZ,279,0.0,489
HIL,122,0.0,585
HK,140,0.0,477
HKS,167,0.0,494
HLG,283,0.0,417
HLGH,284,0.0,421
HLM,133,0.0,585
HLMS,132,0.0,438
HLO,148,0.0,444
HM,55,0.0,56
HMBH,56,0.0,60
HMBV,52,0.0,75
HMH,54,0.0,75
HMN,80,0.0,132
HN,157,0.0,438
HNK,158,0.0,494
HNO,174,0.0,413
HNP,299,0.0,419
HON,153,0.0,370
HOR,87,0.0,159
HR,228,0.0,470
HRL,138,0.0,107
HRLW,140,0.0,124
HRN,262,0.0,466
HRT,82,0.0,88
HT,27,29.161290322580644,13
HTN,67,0.0,182
HTNC,66,0.0,182
HTO,28,27.41935483870968,86
HVL,102,0.0,399
HVS,93,0.0,159
HVSM,94,0.0,160
HVSP,92,0.0,159
HWD,160,0.0,520
HWZB,125,0.0,438
HZE,53,0.0,81
IJT,282,0.0,417
KBD,72,0.0,347
KBK,127,0.0,370
KLP,107,0.0,286
KMA,132,0.0,451
KMR,146,0.0,124
KMW,304,0.0,424
KPN,177,0.0,413
KPNZ,177,0.0,413
KRD,146,0.0,135
KRG,79,0.0,347
KTR,73,0.0,129
KW,276,0.0,487
KZ,126,0.0,441
LAA,90,0.0,575
LC,135,0.0,370
LDL,105,0.0,585
LDM,63,0.0,130
LEDN,104,0.0,575
LG,141,0.0,124
LLS,148,0.0,303
LLZM,103,0.0,497
LP,294,0.0,493
LTN,114,0.0,390
LTV,153,0.0,372
LUT,123,0.0,107
LW,257,0.0,399
LWC,260,0.0,416
MAS,82,0.0,159
MDB,109,0.0,374
MES,146,0.0,109
MG,267,0.0,416
MMLH,80,0.0,128
MP,190,0.0,413
MRB,192,0.0,507
MRN,93,0.0,286
MT,140,0.0,107
MTH,277,0.0,489
MTN,143,0.0,109
MTR,141,0.0,109
MZ,63,0.0,86
NDB,99,0.0,160
NH,131,0.0,138
NKK,107,0.0,399
NM,70,28.41935483870968,107
NMD,65,27.41935483870968,110
NMGO,67,27.41935483870968,111
NMH,73,0.0,128
NML,71,7.354838709677419,128
NS,135,0.0,399
NSCH,312,0.0,496
NVD,176,0.0,377
NVP,123,0.0,585
NWK,81,0.0,470
O,46,28.41935483870968,86
OBD,166,0.0,438
ODB,47,0.0,347
ODZ,174,0.0,437
OMN,185,0.0,420
OP,77,0.0,132
OST,144,0.935483870967742,436
OT,13,0.0,13
OTB,93,0.0,367
OVN,135,0.0,585
OW,45,27.41935483870968,86
PMO,139,0.0,417
PMR,138,0.0,438
PMW,137,0.0,441
PT,114,0.0,399
RAI,109,0.0,162
RAT,180,0.0,413
RB,69,0.0,378
RD,306,0.0,497
RH,99,0.0,368
RHN,116,0.0,289
RL,140,0.0,372
RLB,59,0.0,558
RM,94,0.0,56
RS,34,27.41935483870968,86
RSD,40,0.2258064516129032,342
RSN,160,0.0,370
RSW,85,0.0,560
RTA,76,0.0,412
RTB,65,0.0,459
RTD,66,0.0,342
RTN,71,0.0,412
RTST,61,0.0,459
RTZ,62,0.0,342
RV,105,0.0,105
RVS,54,27.41935483870968,107
SBK,126,0.0,137
SD,95,0.0,183
SDA,295,0.0,487
SDM,70,0.0,412
SDT,56,0.0,459
SDTB,53,0.0,459
SGL,150,0.0,123
SGN,174,0.0,530
SHL,121,0.0,173
SK,279,0.0,416
SKND,278,0.0,416
SM,99,0.0,105
SN,128,0.0,138
SOG,148,0.0,124
SPTN,140,0.0,585
SPTZ,138,0.0,585
SRN,112,0.0,134
SSH,112,0.0,585
ST,94,0.0,183
STD,119,0.0,105
STM,290,0.0,493
STV,308,0.0,424
STZ,93,0.0,183
SWD,279,0.0,481
SWK,204,0.0,463
TB,5,29.870967741935484,0
TBG,125,0.0,404
TBR,0,0.0,0
TBU,4,29.870967741935484,0
TG,99,0.0,76
TL,61,0.0,129
TPSW,59,0.0,129
TWL,139,0.0,436
UHM,303,0.0,497
UHZ,300,0.0,497
UST,295,0.0,496
UT,75,0.0,86
UTG,137,0.0,476
UTLN,71,0.0,210
UTLR,78,0.0,159
UTO,78,0.0,159
UTT,80,0.0,159
UTVR,74,0.0,210
UTZL,77,0.0,159
VB,92,0.0,604
VD,130,0.0,370
VDL,142,0.0,124
VDM,295,0.0,494
VEM,122,0.0,370
VG,30,0.0,56
VH,112,0.0,585
VHP,186,0.0,507
VK,151,0.0,124
VL,94,0.0,75
VLB,102,0.0,170
VNDC,108,0.0,288
VNDW,107,0.0,288
VP,95,0.0,368
VRY,109,0.0,171
VS,115,0.0,374
VSS,114,0.0,347
VST,99,0.0,578
VSV,132,0.0,404
VTN,82,0.0,164
VZ,179,0.0,506
WAD,98,0.0,497
WADN,99,0.0,497
WADT,97,0.0,497
WC,61,27.41935483870968,110
WD,91,0.0,159
WDN,168,0.0,377
WF,97,0.0,367
WFM,292,0.0,496
WH,151,0.935483870967742,446
WK,295,0.0,419
WL,114,0.0,387
WM,130,0.0,441
WP,108,0.0,171
WR,322,0.0,505
WS,300,0.0,496
WSM,284,0.0,482
WT,70,0.0,56
WTV,94,0.0,369
WV,217,0.0,413
WW,153,0.0,423
WWW,154,0.0,423
WZ,153,0.0,412
YPB,96,0.0,607
ZA,83,0.0,132
ZB,287,0.0,490
ZBM,40,0.0,86
ZD,124,0.0,438
ZDK,127,0.0,441
ZH,280,0.0,481
ZL,162,0.935483870967742,399
ZLSH,167,0.0,413
ZLW,31,29.193548387096776,360
ZP,118,1.0,370
ZTM,101,0.0,604
ZTMO,102,0.0,604
ZV,103,0.0,367
ZVB,39,0.0,365
ZVT,141,0.0,585
ZWD,48,0.0,459
ZZS,127,0.0,441
